ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";"LUISA GONZALEZ
(Izquierda autoritaria)"
EC030651;FEMENINO;453,0;424,0;21,0;8,0;0,046357615894039736;0,017660044150110375;0,5386313465783664;0,3973509933774834
EC030750;FEMENINO;1936,0;1712,0;185,0;39,0;0,09555785123966942;0,020144628099173553;0,503099173553719;0,381198347107438
EC040150;FEMENINO;14080,0;13188,0;845,0;48,0;0,060014204545454544;0,003409090909090909;0,6903409090909091;0,24630681818181818
EC040151;FEMENINO;866,0;771,0;84,0;11,0;0,09699769053117784;0,012702078521939953;0,42725173210161665;0,4630484988452656
EC040153;FEMENINO;3481,0;3234,0;229,0;18,0;0,06578569376615916;0,005170927894283252;0,6501005458201666;0,278942832519391
EC040154;FEMENINO;632,0;582,0;45,0;5,0;0,07120253164556962;0,007911392405063292;0,36550632911392406;0,555379746835443
EC040155;FEMENINO;272,0;264,0;7,0;1,0;0,025735294117647058;0,003676470588235294;0,6323529411764706;0,3382352941176471
EC040156;FEMENINO;359,0;298,0;44,0;17,0;0,12256267409470752;0,04735376044568245;0,14484679665738162;0,6852367688022284
EC040157;FEMENINO;980,0;920,0;55,0;5,0;0,05612244897959184;0,00510204081632653;0,5102040816326531;0,42857142857142855
EC040158;FEMENINO;458,0;435,0;22,0;0,0;0,048034934497816595;0,0;0,6397379912663755;0,31004366812227074
EC040159;FEMENINO;1243,0;1051,0;175,0;17,0;0,1407884151246983;0,013676588897827836;0,2839903459372486;0,5615446500402252
EC040161;FEMENINO;875,0;810,0;59,0;6,0;0,06742857142857143;0,006857142857142857;0,44114285714285717;0,4845714285714286
EC040250;FEMENINO;2176,0;1986,0;175,0;15,0;0,08042279411764706;0,006893382352941176;0,5055147058823529;0,4071691176470588
EC040251;FEMENINO;626,0;568,0;56,0;2,0;0,08945686900958466;0,003194888178913738;0,48722044728434505;0,42012779552715657
EC040252;FEMENINO;900,0;818,0;79,0;3,0;0,08777777777777777;0,0033333333333333335;0,2877777777777778;0,6211111111111111
EC040253;FEMENINO;663,0;601,0;59,0;3,0;0,0889894419306184;0,004524886877828055;0,45701357466063347;0,4494720965309201
EC040254;FEMENINO;849,0;762,0;76,0;11,0;0,0895170789163722;0,012956419316843345;0,24028268551236748;0,657243816254417
EC040255;FEMENINO;729,0;660,0;62,0;7,0;0,0850480109739369;0,009602194787379973;0,3662551440329218;0,5390946502057613
EC040350;FEMENINO;2091,0;1931,0;150,0;10,0;0,07173601147776183;0,004782400765184123;0,5925394548063128;0,33094213295074126
EC040351;FEMENINO;349,0;325,0;23,0;1,0;0,0659025787965616;0,0028653295128939827;0,47277936962750716;0,4584527220630373
EC040352;FEMENINO;1531,0;1400,0;124,0;8,0;0,08099281515349445;0,005225342913128674;0,42978445460483344;0,4846505551926845
EC040353;FEMENINO;1325,0;1200,0;115,0;10,0;0,08679245283018867;0,007547169811320755;0,4279245283018868;0,47773584905660377
EC040450;FEMENINO;2759,0;2548,0;192,0;19,0;0,06959043131569409;0,006886553098948894;0,53098948894527;0,392533526640087
EC040451;FEMENINO;1221,0;1122,0;85,0;14,0;0,06961506961506962;0,011466011466011465;0,20966420966420968;0,7092547092547092
EC040452;FEMENINO;766,0;677,0;81,0;8,0;0,10574412532637076;0,010443864229765013;0,293733681462141;0,5900783289817232
