issue,ADM3_PCODE,provincia_sat,canton_sat,parroquia_sat,sat_personas,censo_personas,censo_nbi_personas_viviendas_particulares,censo_personas_minus_sat_personas,censo_nbi_personas_minus_sat_personas
sat_personas_differs_from_total_population,EC010553,Azuay,Paute,Chicán,3392,3394.0,3392.0,2.0,0.0
sat_personas_differs_from_total_population,EC240352,Santa Elena,Salinas,José Luis Tamayo,36660,36668.0,36660.0,8.0,0.0
sat_personas_differs_from_total_population,EC170160,Pichincha,Distrito Metropolitano de Quito,El Quinche,18463,18485.0,18463.0,22.0,0.0
sat_personas_differs_from_total_population,EC050453,Cotopaxi,Pujilí,Guangaje,4109,4113.0,4109.0,4.0,0.0
sat_personas_differs_from_total_population,EC100151,Imbabura,Ibarra,Ambuquí,6142,6143.0,6142.0,1.0,0.0
sat_personas_differs_from_total_population,EC100250,Imbabura,Antonio Ante,Atuntaqui,28066,28099.0,28066.0,33.0,0.0
sat_personas_differs_from_total_population,EC120250,Los Ríos,Baba,Baba,21564,21574.0,21564.0,10.0,0.0
sat_personas_differs_from_total_population,EC140550,Morona Santiago,Santiago,Santiago de Méndez,3358,3366.0,3358.0,8.0,0.0
sat_personas_differs_from_total_population,EC170178,Pichincha,Distrito Metropolitano de Quito,Puéllaro,5152,5155.0,5152.0,3.0,0.0
sat_personas_differs_from_total_population,EC100451,Imbabura,Otavalo,Dr. Miguel Egas Cabezas,6913,6914.0,6913.0,1.0,0.0
sat_personas_differs_from_total_population,EC170159,Pichincha,Distrito Metropolitano de Quito,Checa,11455,11492.0,11455.0,37.0,0.0
sat_personas_differs_from_total_population,EC030350,Cañar,Cañar,Cañar,17183,17305.0,17183.0,122.0,0.0
sat_personas_differs_from_total_population,EC040153,Carchi,Tulcán,Julio Andrade,10593,10594.0,10593.0,1.0,0.0
sat_personas_differs_from_total_population,EC110153,Loja,Loja,El Cisne,1622,1639.0,1622.0,17.0,0.0
sat_personas_differs_from_total_population,EC020350,Bolívar,Chimbo,San José de Chimbo,6015,6020.0,6015.0,5.0,0.0
sat_personas_differs_from_total_population,EC060250,Chimborazo,Alausí,Alausí,10102,10303.0,10102.0,201.0,0.0
sat_personas_differs_from_total_population,EC030250,Cañar,Biblián,Biblián,12375,12379.0,12375.0,4.0,0.0
sat_personas_differs_from_total_population,EC100156,Imbabura,Ibarra,Salinas,2367,2374.0,2367.0,7.0,0.0
sat_personas_differs_from_total_population,EC092450,Guayas,Lomas de Sargentillo,Lomas de Sargentillo,22188,22254.0,22188.0,66.0,0.0
sat_personas_differs_from_total_population,EC210355,Sucumbíos,Putumayo,Sansahuari,2667,2669.0,2667.0,2.0,0.0
sat_personas_differs_from_total_population,EC220350,Orellana,La Joya de los Sachas,La Joya de los Sachas,25968,25989.0,25968.0,21.0,0.0
sat_personas_differs_from_total_population,EC240350,Santa Elena,Salinas,Salinas,35048,35081.0,35048.0,33.0,0.0
sat_personas_differs_from_total_population,EC092056,Guayas,San Jacinto de Yaguachi,Virgen de Fátima,18180,18184.0,18180.0,4.0,0.0
sat_personas_differs_from_total_population,EC010251,Azuay,Girón,La Asunción,2681,2683.0,2681.0,2.0,0.0
sat_personas_differs_from_total_population,EC170183,Pichincha,Distrito Metropolitano de Quito,Tababela,3846,3851.0,3846.0,5.0,0.0
sat_personas_differs_from_total_population,EC040158,Carchi,Tulcán,Urbina,1769,1770.0,1769.0,1.0,0.0
sat_personas_differs_from_total_population,EC060154,Chimborazo,Riobamba,Flores,2731,2733.0,2731.0,2.0,0.0
sat_personas_differs_from_total_population,EC060350,Chimborazo,Colta,Villa la Unión,14387,14392.0,14387.0,5.0,0.0
sat_personas_differs_from_total_population,EC091450,Guayas,Pedro Carbo,Pedro Carbo,38306,38405.0,38306.0,99.0,0.0
sat_personas_differs_from_total_population,EC100455,Imbabura,Otavalo,San José de Quichinche,8435,8458.0,8435.0,23.0,0.0
sat_personas_differs_from_total_population,EC060161,Chimborazo,Riobamba,San Luis,19061,19510.0,19061.0,449.0,0.0
sat_personas_differs_from_total_population,EC040650,Carchi,San Pedro de Huaca,Huaca,6391,6455.0,6391.0,64.0,0.0
sat_personas_differs_from_total_population,EC180755,Tungurahua,San Pedro de Pelileo,El Rosario,2674,2675.0,2674.0,1.0,0.0
sat_personas_differs_from_total_population,EC240250,Santa Elena,La Libertad,La Libertad,112114,112247.0,112114.0,133.0,0.0
sat_personas_differs_from_total_population,EC071250,El Oro,Santa Rosa,Santa Rosa,61430,61493.0,61430.0,63.0,0.0
sat_personas_differs_from_total_population,EC240156,Santa Elena,Santa Elena,San José de Ancón,7895,7918.0,7895.0,23.0,0.0
sat_personas_differs_from_total_population,EC140450,Morona Santiago,Palora,Palora,6706,6717.0,6706.0,11.0,0.0
sat_personas_differs_from_total_population,EC040353,Carchi,Espejo,San Isidro,2982,2983.0,2982.0,1.0,0.0
sat_personas_differs_from_total_population,EC110350,Loja,Catamayo,Catamayo,28123,28127.0,28123.0,4.0,0.0
sat_personas_differs_from_total_population,EC170170,Pichincha,Distrito Metropolitano de Quito,Nayón,22052,22065.0,22052.0,13.0,0.0
sat_personas_differs_from_total_population,EC010154,Azuay,Cuenca,Checa,3184,3204.0,3184.0,20.0,0.0
sat_personas_differs_from_total_population,EC070450,El Oro,Balsas,Balsas,6283,6289.0,6283.0,6.0,0.0
sat_personas_differs_from_total_population,EC150750,Napo,Quijos,Baeza,2243,2256.0,2243.0,13.0,0.0
sat_personas_differs_from_total_population,EC070250,El Oro,Arenillas,Arenillas,23915,23919.0,23915.0,4.0,0.0
sat_personas_differs_from_total_population,EC010167,Azuay,Cuenca,Sinincay,26720,26725.0,26720.0,5.0,0.0
sat_personas_differs_from_total_population,EC210554,Sucumbíos,Sucumbíos,Santa Bárbara,597,599.0,597.0,2.0,0.0
sat_personas_differs_from_total_population,EC090156,Guayas,Guayaquil,Posorja,33691,33709.0,33691.0,18.0,0.0
sat_personas_differs_from_total_population,EC091350,Guayas,Palestina,Palestina,17991,18019.0,17991.0,28.0,0.0
sat_personas_differs_from_total_population,EC030150,Cañar,Azogues,Azogues,40922,41249.0,40922.0,327.0,0.0
sat_personas_differs_from_total_population,EC050652,Cotopaxi,Saquisilí,Chantilín,2125,2129.0,2125.0,4.0,0.0
sat_personas_differs_from_total_population,EC091950,Guayas,Salitre,El Salitre,30540,30549.0,30540.0,9.0,0.0
sat_personas_differs_from_total_population,EC100350,Imbabura,Cotacachi,Cotacachi,21362,21414.0,21362.0,52.0,0.0
sat_personas_differs_from_total_population,EC080556,Esmeraldas,San Lorenzo,Concepción,1976,1980.0,1976.0,4.0,0.0
sat_personas_differs_from_total_population,EC050455,Cotopaxi,Pujilí,La Victoria,3556,3561.0,3556.0,5.0,0.0
sat_personas_differs_from_total_population,EC040250,Carchi,Bolívar,Bolívar,5872,5873.0,5872.0,1.0,0.0
sat_personas_differs_from_total_population,EC091951,Guayas,Salitre,General Vernaza,10518,10522.0,10518.0,4.0,0.0
sat_personas_differs_from_total_population,EC060550,Chimborazo,Chunchi,Chunchi,6796,6828.0,6796.0,32.0,0.0
sat_personas_differs_from_total_population,EC040550,Carchi,Montúfar,San Gabriel,20567,20576.0,20567.0,9.0,0.0
sat_personas_differs_from_total_population,EC040450,Carchi,Mira,Mira,6701,6706.0,6701.0,5.0,0.0
sat_personas_differs_from_total_population,EC170179,Pichincha,Distrito Metropolitano de Quito,Puembo,17779,17780.0,17779.0,1.0,0.0
sat_personas_differs_from_total_population,EC210350,Sucumbíos,Putumayo,Puerto el Carmen de Putumayo,3066,3090.0,3066.0,24.0,0.0
